title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
fairytale of new york (feat. kirsty maccoll),The Pogues,spotify:track:3VTNVsTTu05dmTsVFrmGpK,0.271,0.551,2,-7.48,1,0.0457,0.582,4.16e-05,0.256,0.428,78.111,audio_features,3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/tracks/3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/audio-analysis/3VTNVsTTu05dmTsVFrmGpK,272467,4
message to my girl,Split Enz,spotify:track:2YnKRdpWWapJWeouwfYqRa,0.611,0.401,1,-15.091,1,0.0262,0.0993,7.09e-05,0.0484,0.705,104.517,audio_features,2YnKRdpWWapJWeouwfYqRa,https://api.spotify.com/v1/tracks/2YnKRdpWWapJWeouwfYqRa,https://api.spotify.com/v1/audio-analysis/2YnKRdpWWapJWeouwfYqRa,244000,4
somebody told me,The Killers,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,audio_features,6PwjJ58I4t7Mae9xfZ9l9v,https://api.spotify.com/v1/tracks/6PwjJ58I4t7Mae9xfZ9l9v,https://api.spotify.com/v1/audio-analysis/6PwjJ58I4t7Mae9xfZ9l9v,197200,4
traffic - radio edit,Tiësto,spotify:track:4dFsZLGVr40S9veNWXBCoe,0.714,0.642,8,-10.241,0,0.0868,0.00251,0.887,0.186,0.102,137.834,audio_features,4dFsZLGVr40S9veNWXBCoe,https://api.spotify.com/v1/tracks/4dFsZLGVr40S9veNWXBCoe,https://api.spotify.com/v1/audio-analysis/4dFsZLGVr40S9veNWXBCoe,177027,4
bedshaped,Keane,spotify:track:1BoAUj2LKTvgIfi7wjAAQa,0.332,0.41,4,-6.988,1,0.0344,0.609,0.00014,0.0963,0.0715,75.042,audio_features,1BoAUj2LKTvgIfi7wjAAQa,https://api.spotify.com/v1/tracks/1BoAUj2LKTvgIfi7wjAAQa,https://api.spotify.com/v1/audio-analysis/1BoAUj2LKTvgIfi7wjAAQa,275973,4
memories,Earth & Fire,spotify:track:1XkVhT2wkBFjgoZjem2rcO,0.308,0.786,4,-7.893,0,0.0478,0.35,0.00488,0.109,0.264,131.255,audio_features,1XkVhT2wkBFjgoZjem2rcO,https://api.spotify.com/v1/tracks/1XkVhT2wkBFjgoZjem2rcO,https://api.spotify.com/v1/audio-analysis/1XkVhT2wkBFjgoZjem2rcO,200693,4
stiekem gedanst,Toontje Lager,spotify:track:1tU5J8aMqCQe7WtqTkFLQL,0.659,0.629,7,-10.463,1,0.0608,0.206,9.93e-05,0.595,0.844,96.198,audio_features,1tU5J8aMqCQe7WtqTkFLQL,https://api.spotify.com/v1/tracks/1tU5J8aMqCQe7WtqTkFLQL,https://api.spotify.com/v1/audio-analysis/1tU5J8aMqCQe7WtqTkFLQL,214975,4
bicycle race - remastered 2011,Queen,spotify:track:3lUx27TOwV2nAiKwnYYXxe,0.429,0.669,0,-6.446,0,0.0783,0.0637,0.0,0.0955,0.611,82.725,audio_features,3lUx27TOwV2nAiKwnYYXxe,https://api.spotify.com/v1/tracks/3lUx27TOwV2nAiKwnYYXxe,https://api.spotify.com/v1/audio-analysis/3lUx27TOwV2nAiKwnYYXxe,180813,4
margherita,Marco Borsato,spotify:track:1pJmdIiTYfGtYRKXCnM5S5,0.541,0.251,1,-11.655,0,0.0354,0.516,5.11e-05,0.14,0.142,119.179,audio_features,1pJmdIiTYfGtYRKXCnM5S5,https://api.spotify.com/v1/tracks/1pJmdIiTYfGtYRKXCnM5S5,https://api.spotify.com/v1/audio-analysis/1pJmdIiTYfGtYRKXCnM5S5,250067,4
since i've been loving you - remaster,Led Zeppelin,spotify:track:1SDiiE3v2z89VxC3aVRKHQ,0.393,0.364,5,-10.945,0,0.0345,0.0021,0.0703,0.121,0.308,118.566,audio_features,1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/tracks/1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/audio-analysis/1SDiiE3v2z89VxC3aVRKHQ,444148,3
